kepid,kepoi_name,kepler_name,koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_eccen,koi_longp,koi_impact,koi_duration,koi_ingress,koi_depth,koi_ror,koi_srho,koi_fittype,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,koi_kepmag
11456382,K02771.01,,FALSE POSITIVE,0,0,0,1,1,0.814280672,131.64736,0,,0.701,2.326,,134.9,0.011362,0.27024,LS+MCMC,1.91,0.0185,70.66,2563,10224.99,2.116,6366,4.167,0.04,1.543,1.273,,11.751
11966253,K02772.01,,FALSE POSITIVE,0,0,0,1,0,0.643468999,131.83868,0,,0.266,1.1108,,108,0.009608,3.77394,LS+MCMC,0.88,0.0132,86.5,2001,3772.66,4.355,5670,4.452,-0.64,0.843,0.732,,14.658
3130548,K02773.01,,FALSE POSITIVE,0,0,1,1,0,0.878855771,131.49524,0,,0.41,1.1014,,269.7,0.015318,4.54217,LS+MCMC,1.57,0.0172,85.88,1864,2857.19,5.7,5727,4.438,-0.22,0.937,0.877,,14.853
8703887,K00287.01,,FALSE POSITIVE,0,0,1,0,0,14.17097278,175.60775,0,,0.579,3.7316,,13496.5,0.111515,1.96719,LS+MCMC,20.88,0.1402,88.8,1288,650.07,27.54,8347,4.231,0.07,1.715,1.826,,11.054
9593757,K02774.01,,FALSE POSITIVE,0,0,1,1,1,2.49432176,133.61066,0,,0.069,2.3269,,8043,0.081558,2.11555,LS+MCMC,8.91,0.0361,89.55,1342,766.49,8.861,5780,4.438,0,1,1,,17.69
10397751,K02859.04,,CANDIDATE,0.956,0,0,0,0,2.90512019,132.56693,0,,0.417,2.293,,61.2,0.007269,1.58057,LS+MCMC,0.57,0.0351,87.31,1075,314.96,8.9,5374,4.555,-0.68,0.721,0.68,,13.851
10397751,K02859.05,,CANDIDATE,0.857,0,0,0,0,5.43103616,134.41711,0,,0.816,2.469,,66.8,0.008369,0.64138,LS+MCMC,0.66,0.0532,85.32,873,137.1,10,5374,4.555,-0.68,0.721,0.68,,13.851
6606438,K02860.01,Kepler-1883 b,CONFIRMED,1,0,0,0,0,103.4269873,220.22869,0,,0.013,5.03,,950.1,0.028295,7.44965,LS+MCMC,3.16,0.4438,90,416,7.08,161.5,6208,4.454,-0.12,1.024,1.086,,15.549
7815931,K02861.01,,FALSE POSITIVE,0,0,0,1,0,1.868564038,132.51442,0,,0.456,1.192,,176.7,0.012495,6.91988,LS+MCMC,1.4,0.0299,87.59,1565,1417.56,10.85,6065,4.427,-0.12,1.023,1.018,,14.944
6679295,K02862.01,,CANDIDATE,0.993,0,0,0,0,24.5752524,144.18324,0,,0.489,2.258,,1003.4,0.029364,13.37272,LS+MCMC,1.64,0.1351,89.63,316,2.35,75.3,3678,4.755,0.26,0.512,0.545,,15.907
